"omega","prev","b0","b1","r2"
0.1,0.5,0,0.202088691642467,0.0105073640285694
0.1,0.501262623578753,0.00505050505050505,0.365838295916077,0.0300931317931976
0.1,0.502525231054427,0.0101010101010101,0.435779687220553,0.0444111503586222
0.1,0.503787806324766,0.0151515151515152,0.492937048141074,0.0540251716175796
0.1,0.505050333289156,0.0202020202020202,0.538006896782134,0.0638370748838413
0.1,0.506312795849448,0.0252525252525253,0.582679925207071,0.071518873718156
0.1,0.507575177910776,0.0303030303030303,0.622433029185917,0.0818216575051116
0.1,0.508837463382382,0.0353535353535354,0.660376800483463,0.0883601782597891
0.1,0.510099636178431,0.0404040404040404,0.695412602258823,0.102446973938382
0.1,0.511361680218837,0.0454545454545455,0.729985517911203,0.108423885643572
0.1,0.512623579430075,0.0505050505050505,0.76385173923185,0.115447360791124
0.1,0.513885317746005,0.0555555555555556,0.794673029860795,0.121700163706056
0.1,0.515146879108686,0.0606060606060606,0.827169221608109,0.130815627067051
0.1,0.516408247469193,0.0656565656565657,0.85395021034449,0.137330913525
0.1,0.517669406788436,0.0707070707070707,0.883388108414328,0.144485713619968
0.1,0.518930341037969,0.0757575757575758,0.9164547535403,0.152505346541008
0.1,0.520191034200808,0.0808080808080808,0.941083411917468,0.159130973018753
0.1,0.521451470272241,0.0858585858585859,0.965227883871435,0.163576081960783
0.1,0.522711633260639,0.0909090909090909,0.991639230383308,0.171652796931346
0.1,0.523971507188267,0.095959595959596,1.02177117622907,0.17727956351018
0.1,0.525231076092089,0.101010101010101,1.04835562863653,0.18330741084122
0.1,0.526490324024576,0.106060606060606,1.07500464129409,0.195887311668858
0.1,0.527749235054513,0.111111111111111,1.0970650536513,0.198338648118671
0.1,0.529007793267797,0.116161616161616,1.12689495967223,0.202222982709908
0.1,0.530265982768242,0.121212121212121,1.14878584219064,0.210292968753353
0.1,0.531523787678375,0.126262626262626,1.17963441523134,0.216786912381876
0.1,0.532781192140237,0.131313131313131,1.19981449409189,0.224619679997442
0.1,0.534038180316175,0.136363636363636,1.22679939859781,0.233337861385758
0.1,0.535294736389636,0.141414141414141,1.25927876714377,0.235571735024828
0.1,0.536550844565956,0.146464646464646,1.2781208166576,0.241355304260846
0.1,0.537806489073151,0.151515151515152,1.30123715531647,0.248076390464774
0.1,0.539061654162701,0.156565656565657,1.32851378553824,0.254810940416586
0.1,0.540316324110332,0.161616161616162,1.35263203362931,0.26251458777702
0.1,0.5415704832168,0.166666666666667,1.37899861926144,0.265438563239911
0.1,0.542824115808667,0.171717171717172,1.41115114460349,0.269011354140257
0.1,0.544077206239074,0.176767676767677,1.43613134791252,0.280044785163985
0.1,0.54532973888852,0.181818181818182,1.44193976950373,0.284526859428315
0.1,0.546581698165624,0.186868686868687,1.48088307691019,0.291991716729024
0.1,0.547833068507895,0.191919191919192,1.50325000577829,0.289602603195755
0.1,0.549083834382495,0.196969696969697,1.5225355290717,0.298025141875938
0.1,0.550333980287002,0.202020202020202,1.56316932993755,0.307256840629147
0.1,0.551583490750161,0.207070707070707,1.58276093661482,0.309179310916258
0.1,0.552832350332642,0.212121212121212,1.60131007628306,0.313163355886037
0.1,0.554080543627789,0.217171717171717,1.63171729603966,0.316997383909939
0.1,0.555328055262369,0.222222222222222,1.65320178355388,0.326359468175436
0.1,0.556574869897311,0.227272727272727,1.68474274825859,0.334482278627351
0.1,0.557820972228448,0.232323232323232,1.7085345881475,0.338271586854361
0.1,0.559066346987255,0.237373737373737,1.73939347128619,0.34278702094944
0.1,0.560310978941578,0.242424242424242,1.76029372758845,0.345234552786342
0.1,0.561554852896363,0.247474747474747,1.78249065007654,0.351789529298095
0.1,0.562797953694382,0.252525252525253,1.81578550045365,0.361996541822983
0.1,0.564040266216953,0.257575757575758,1.83421390080053,0.368347780119559
0.1,0.565281775384654,0.262626262626263,1.87095281994337,0.371478260429436
0.1,0.566522466158039,0.267676767676768,1.89087821045274,0.3775060410024
0.1,0.567762323538344,0.272727272727273,1.91772946154597,0.381793507413374
0.1,0.569001332568191,0.277777777777778,1.94470639196497,0.387821820783777
0.1,0.570239478332288,0.282828282828283,1.97680942743322,0.392931948744742
0.1,0.571476745958125,0.287878787878788,2.0002087812391,0.393288268799619
0.1,0.572713120616662,0.292929292929293,2.03169229033459,0.403775733475466
0.1,0.573948587523018,0.297979797979798,2.05893076681943,0.406438279623595
0.1,0.575183131937152,0.303030303030303,2.07980613621811,0.408635349283455
0.1,0.576416739164539,0.308080808080808,2.11545551868994,0.417515418201821
0.1,0.57764939455684,0.313131313131313,2.1413467506552,0.422732133198567
0.1,0.578881083512577,0.318181818181818,2.17313388072002,0.426290997014036
0.1,0.580111791477787,0.323232323232323,2.20699148610842,0.428585222743813
0.1,0.581341503946685,0.328282828282828,2.22299152208517,0.437568701303609
0.1,0.582570206462315,0.333333333333333,2.25945029970465,0.433450315499756
0.1,0.583797884617197,0.338383838383838,2.27894382125624,0.451280859749694
0.1,0.585024524053972,0.343434343434343,2.31407105311638,0.450003166206704
0.1,0.586250110466038,0.348484848484849,2.35273762706364,0.456583837509584
0.1,0.587474629598182,0.353535353535354,2.38894738874625,0.45871300438839
0.1,0.588698067247206,0.358585858585859,2.40136823820177,0.468969827533586
0.1,0.589920409262554,0.363636363636364,2.43354543819454,0.469452240543469
0.1,0.591141641546922,0.368686868686869,2.46621618454433,0.473229690724775
0.1,0.592361750056872,0.373737373737374,2.50403157676652,0.48404671176152
0.1,0.59358072080344,0.378787878787879,2.54209741398012,0.482406164875942
