"omega","prev","b0","b1","r2"
0.01,0.5,0,0.0199985026268657,0.00016366610998475
0.01,0.501262623578753,0.00505050505050505,0.163717013153392,0.00650292728159829
0.01,0.502525231054427,0.0101010101010101,0.224606183844651,0.0131065042140754
0.01,0.503787806324766,0.0151515151515152,0.271260751911448,0.0177380389908925
0.01,0.505050333289156,0.0202020202020202,0.311365911878917,0.0220726616946749
0.01,0.506312795849448,0.0252525252525253,0.346055948691565,0.0291987588923468
0.01,0.507575177910776,0.0303030303030303,0.379939373004178,0.0319221960387898
0.01,0.508837463382382,0.0353535353535354,0.408947204496497,0.0382483084734
0.01,0.510099636178431,0.0404040404040404,0.438074049204544,0.0459850003952164
0.01,0.511361680218837,0.0454545454545455,0.464879806259555,0.0493832176003055
0.01,0.512623579430075,0.0505050505050505,0.48949360147042,0.0531728909157008
0.01,0.513885317746005,0.0555555555555556,0.51387012525451,0.0589271828290818
0.01,0.515146879108686,0.0606060606060606,0.537338142718846,0.0641886553829881
0.01,0.516408247469193,0.0656565656565657,0.557916286746073,0.0676238709956138
0.01,0.517669406788436,0.0707070707070707,0.582006651120278,0.0728226997269948
0.01,0.518930341037969,0.0757575757575758,0.602074128622919,0.0787152893797884
0.01,0.520191034200808,0.0808080808080808,0.623387409863318,0.0790437511445898
0.01,0.521451470272241,0.0858585858585859,0.644177930473187,0.0880308658714491
0.01,0.522711633260639,0.0909090909090909,0.664757712741853,0.0907341235635543
0.01,0.523971507188267,0.095959595959596,0.684892740220781,0.0953423348525875
0.01,0.525231076092089,0.101010101010101,0.703064231860568,0.0980732325425084
0.01,0.526490324024576,0.106060606060606,0.724355229155985,0.103122695121339
0.01,0.527749235054513,0.111111111111111,0.737203239438524,0.110147884793564
0.01,0.529007793267797,0.116161616161616,0.755336967744053,0.111065038296562
0.01,0.530265982768242,0.121212121212121,0.773202169790657,0.118994686137657
0.01,0.531523787678375,0.126262626262626,0.798397603131491,0.122326358712516
0.01,0.532781192140237,0.131313131313131,0.812534104042158,0.12701874333676
0.01,0.534038180316175,0.136363636363636,0.826409379649167,0.129279101922733
0.01,0.535294736389636,0.141414141414141,0.843101911801951,0.135285513632994
0.01,0.536550844565956,0.146464646464646,0.861680484157684,0.142485303271766
0.01,0.537806489073151,0.151515151515152,0.879359045788512,0.147281127345763
0.01,0.539061654162701,0.156565656565657,0.900846772068753,0.146997358413361
0.01,0.540316324110332,0.161616161616162,0.915470970296616,0.154512087226785
0.01,0.5415704832168,0.166666666666667,0.932673753612825,0.155896672814898
0.01,0.542824115808667,0.171717171717172,0.947243214265381,0.158206306687421
0.01,0.544077206239074,0.176767676767677,0.960050633039921,0.168350930955682
0.01,0.54532973888852,0.181818181818182,0.976933651611694,0.16672811945653
0.01,0.546581698165624,0.186868686868687,0.994142002592963,0.17336087173624
0.01,0.547833068507895,0.191919191919192,1.00912023484276,0.175525227867179
0.01,0.549083834382495,0.196969696969697,1.03013819094552,0.178541506829033
0.01,0.550333980287002,0.202020202020202,1.04120385310615,0.18454380408264
0.01,0.551583490750161,0.207070707070707,1.05951663467584,0.186811682976114
0.01,0.552832350332642,0.212121212121212,1.07628374757308,0.192654737975506
0.01,0.554080543627789,0.217171717171717,1.09400696299836,0.196540482732896
0.01,0.555328055262369,0.222222222222222,1.10015757473665,0.199033865011224
0.01,0.556574869897311,0.227272727272727,1.11650010540833,0.20404835166932
0.01,0.557820972228448,0.232323232323232,1.13727550202154,0.210132216560615
0.01,0.559066346987255,0.237373737373737,1.14943771134741,0.209827334442191
0.01,0.560310978941578,0.242424242424242,1.16745703435249,0.216482202309618
0.01,0.561554852896363,0.247474747474747,1.18304163936292,0.217228569006731
0.01,0.562797953694382,0.252525252525253,1.19633295713068,0.220045567773522
0.01,0.564040266216953,0.257575757575758,1.20975571236966,0.225434950349546
0.01,0.565281775384654,0.262626262626263,1.22757340830795,0.22939216310662
0.01,0.566522466158039,0.267676767676768,1.24518295661723,0.237166268958353
0.01,0.567762323538344,0.272727272727273,1.25286369279787,0.235652086592801
0.01,0.569001332568191,0.277777777777778,1.27287909708857,0.23856369402055
0.01,0.570239478332288,0.282828282828283,1.2853143713545,0.245008344386211
0.01,0.571476745958125,0.287878787878788,1.3045964800495,0.242948637371301
0.01,0.572713120616662,0.292929292929293,1.31827821437754,0.251926851559509
0.01,0.573948587523018,0.297979797979798,1.33144805631279,0.25401974740971
0.01,0.575183131937152,0.303030303030303,1.34953673786974,0.257752169361363
0.01,0.576416739164539,0.308080808080808,1.36051991616854,0.259586160256862
0.01,0.57764939455684,0.313131313131313,1.37418447290503,0.268450451607982
0.01,0.578881083512577,0.318181818181818,1.39371766948006,0.270117841350128
