"","x"
"1",-0.0183273374749275
"2",-0.0183273374749275
"3",-0.0183273374749275
"4",-0.0183273374749275
"5",-0.0183273374749275
"6",-0.0183273374749275
"7",-0.0183273374749275
"8",-0.0183273374749275
"9",-0.0183273374749275
"10",-0.0183273374749275
"11",-0.0183273374749275
"12",-0.0183273374749275
"13",-0.0183273374749275
"14",-0.0183273374749275
"15",-0.0183273374749275
"16",-0.0183273374749275
"17",-0.0183273374749275
"18",-0.0183273374749275
"19",-0.0183273374749275
"20",-0.0183273374749275
"21",-0.0183273374749275
"22",-0.0182732100684359
"23",-0.0182732100684359
"24",-0.0182732100684359
"25",-0.0182732100684359
"26",-0.0182732100684359
"27",-0.0182732100684359
"28",-0.0182732100684359
"29",-0.0182732100684359
"30",-0.0182732100684359
"31",-0.0182732100684359
"32",-0.0182732100684359
"33",-0.0182732100684359
"34",-0.0182732100684359
"35",-0.0182732100684359
"36",-0.0182732100684359
"37",-0.0182732100684359
"38",-0.0182732100684359
"39",-0.0182732100684359
"40",-0.0182732100684359
"41",-0.0182732100684359
"42",-0.0182732100684359
"43",-0.0182732100684359
"44",-0.0182732100684359
"45",-0.0182732100684359
"46",-0.0182732100684359
"47",-0.0182732100684359
"48",-0.0182732100684359
"49",-0.0182732100684359
"50",-0.0182732100684359
"51",-0.0182732100684359
"52",-0.0182732100684359
"53",-0.0182732100684359
"54",-0.0182732100684359
"55",-0.0182732100684359
"56",-0.0182732100684359
"57",-0.0182732100684359
"58",-0.0182732100684359
"59",-0.0182732100684359
"60",-0.0182732100684359
"61",-0.0182732100684359
"62",-0.0182732100684359
"63",-0.0182732100684359
"64",-0.0182732100684359
"65",-0.0182732100684359
"66",-0.0182732100684359
"67",-0.0182732100684359
"68",-0.0182732100684359
"69",-0.0182732100684359
"70",-0.0182191759972595
"71",-0.0182191759972595
"72",-0.0182191759972595
"73",-0.0182191759972595
"74",-0.0182191759972595
"75",-0.0182191759972595
"76",-0.0182191759972595
"77",-0.0182191759972595
"78",-0.0182191759972595
"79",-0.0182191759972595
"80",-0.0182191759972595
"81",-0.0182191759972595
"82",-0.0182191759972595
"83",-0.0182191759972595
"84",-0.0182191759972595
"85",-0.0182191759972595
"86",-0.0182191759972595
"87",-0.0182191759972595
"88",-0.0182191759972595
"89",-0.0182191759972595
"90",-0.0182191759972595
"91",-0.0182191759972595
"92",-0.0182191759972595
"93",-0.0182191759972595
"94",-0.0182191759972595
