"","prev","b1","r2"
"0",0.5,0.040265780543591,3.1959092066068e-05
"0.0416666666666667",0.510415159887365,0.463400487004954,0.0518863259785504
"0.0833333333333333",0.520821285372743,0.676122066567366,0.0866074025815491
"0.125",0.531209373373756,0.824306394925608,0.130533535391604
"0.166666666666667",0.5415704832168,0.982564277449702,0.164836006072638
"0.208333333333333",0.551895767268231,1.10468844512381,0.20237946415213
"0.25",0.562176500885798,1.22998186862526,0.236690346844346
"0.291666666666667",0.572404111477021,1.360866605104,0.23732066638427
"0.333333333333333",0.582570206462315,1.50076898724889,0.268281541286619
"0.375",0.59266659995407,1.6312040465952,0.305330267796918
"0.416666666666667",0.602685337978492,1.78594567602653,0.328257437130136
"0.458333333333333",0.612618722084366,1.95147404333321,0.343214639046965
"0.5",0.622459331201855,2.05681054543912,0.367590123292496
"0.541666666666667",0.632200041634519,2.18057694758245,0.403692419200685
"0.583333333333333",0.641834045088731,2.34163877373967,0.41309400955805
"0.625",0.651354864666054,2.45399224651429,0.409258966897616
"0.666666666666667",0.660756368765817,2.70444971933933,0.441722231325559
"0.708333333333333",0.670032782866484,2.82280679817866,0.455367130790352
"0.75",0.679178699175393,3.04495680284323,0.462662091021435
"0.791666666666667",0.688189084156563,3.17926041744581,0.477122673811483
"0.833333333333333",0.697059283965407,3.31292614593321,0.485651194810827
"0.875",0.705785027837011,3.60899720642221,0.496139175971627
"0.916666666666667",0.714362429491056,3.82585356981366,0.514889867738665
"0.958333333333333",0.722787986631225,4.1148701649405,0.520192891142447
"1",0.731058578630005,4.24364799356277,0.538847219684599
