"","b0","b1","b2","prev","ew","r2","auc","f1","r2.del","auc.del","f1.del","r2.diff","auc.diff","f1.diff","ew0"
"613",0.5,0.5,0.984321815660223,0.5945,0.160756662972902,0.193828730600648,0.757504458093917,0.606299212598425,3.28818604169032,0.215573731127756,0.784208876875465,0.148628095946223,0.134338262003831,0.266485180476701,0.260659997361022
"614",0.5,0.5,0.0826891390606761,0.612,0.00217466976333463,0.0433134553617679,0.622062918120772,0.333333333333333,0.0394396447308244,0.00342944239806931,-0.00354609929078013,0.00164345019953027,0.0021260378214254,-0.00118623962040332,0.0698460190276164
"615",0.5,0.5,0.135835363995284,0.61,0.00350798040926421,0.0617148238886287,0.646913601339461,0.349234923492349,0.0501793307146413,0.0055903755245127,0.0186018601860186,0.00294883784829014,0.00359638482171842,0.00637778063520639,0.0814211380839123
"616",0.5,0.5,0.0793673649895936,0.607,0.000800987616553068,0.0674437926560496,0.647293081494058,0.374564459930314,0.013031524379057,0.000721821483704054,0.0314093824168054,0.000867589415593062,0.000466893039049232,0.0114065651934714,0.0917624544741583
"617",0.5,0.5,0.853311412967741,0.5895,0.126578041720603,0.187980633292149,0.753984039521587,0.556281771968046,2.5055032788609,0.192076019921125,0.724793195268742,0.13435619812881,0.121487431149685,0.233760919326712,0.215643574021046
"618",0.5,0.5,0.726047221571207,0.589,0.0962462022676016,0.120860500313283,0.702680926796225,0.518736223365173,2.53167565841622,0.160514201337618,0.479695077149155,0.0866386430412925,0.0971899073961099,0.168166547642123,0.157809884325309
"619",0.5,0.5,0.107088973978534,0.6305,0.000844064683102674,0.0516177846452713,0.638843648208469,0.194384449244061,0.0140462581427648,0.00127135807163588,0.0311313025992406,0.000714993741225411,0.00081116774400436,0.00586873960159032,0.0767039295144894
"620",0.5,0.5,0.687688068253919,0.6025,0.0698629940682746,0.106931371471657,0.691498712279097,0.493212669683258,1.63081679057153,0.118736090432959,0.403190045248869,0.0662856785237923,0.07339161964791,0.141718820825613,0.134149471854376
"621",0.5,0.5,0.904963437234983,0.608,0.131370631988397,0.149935145115636,0.727313291548338,0.557262569832402,3.3094936260099,0.189463831151228,0.654815245441397,0.115143320802287,0.115850149500206,0.220510433080265,0.198485257957138
"622",0.5,0.5,0.781291968654841,0.6095,0.132929063293856,0.164310740198068,0.736581940709488,0.534623976172748,2.73759879253834,0.186551705674874,0.67704671855306,0.120349162372729,0.115806683140293,0.215835018024929,0.220847800291908
"623",0.5,0.5,0.43836405640468,0.6165,0.0508633674425883,0.0792018739253859,0.661424197233814,0.459893048128342,1.11415339509771,0.0777610825325572,0.348790805331631,0.0417391836073424,0.0477221365882594,0.118926127008749,0.117992723121523
"624",0.5,0.5,0.961051971651614,0.595,0.184960276653732,0.207929336487442,0.763599487882793,0.604527296937417,4.70475988512206,0.246421017213948,0.655061399615327,0.171480942396445,0.1509658132761,0.239267556677676,0.26618280091531
