"","Difference","Prevalence","R2","AUC","F1","IMV"
"1",0.151560974545643,0.0788,0.113661346839053,0.697425979086311,0.540084388185654,0.187862566957006
"2",0.540716282123616,0.0116,0.335728443400933,0.826429417369605,0.778391167192429,0.551542335667158
"3",0.200960268909947,0.0375,0.125639535493432,0.700250549340038,0.618621778011573,0.277066624550388
"4",0.055564471857424,0.1131,0.119439388307934,0.701314063975562,0.483069276172724,0.156309449990873
"5",0.165255633485609,0.0433,0.0816155760413492,0.664094657731336,0.668475881992471,0.197513343511781
"6",0.21700677841886,0.0855,0.134677934817772,0.714241165933048,0.544658733415401,0.204481773764575
"7",0.101373481295734,0.1314,0.0571920807038453,0.641737194954378,0.760258307547424,0.0734284600347449
"8",0.122484795577912,0.0454,0.0588251224660511,0.63900105364694,0.666108085462924,0.155663816459971
"9",0.0612984135075035,0.1402,0.117873399168358,0.703307479822783,0.440530170910359,0.127560079116665
"10",0.310046431852104,0.239,0.176004256082147,0.773276873065497,0.848022808974836,0.103944419308982
"11",0.389106735043626,0.1006,0.196170706956997,0.758807917170461,0.748712754283785,0.242027847991441
"12",0.0306834733359534,0.1307,0.0815052723660227,0.669211945465156,0.358774373259053,0.0993276455466033
"13",0.0431132575161602,0.00109999999999999,0.0493299389328146,0.625374746813775,0.572651356993737,0.22167724660771
"14",0.354219362340204,0.0214,0.176960864568891,0.742467080897471,0.672740756436063,0.369168793452783
"15",0.227095939603648,0.2788,0.129143285382543,0.747342262078907,0.1515625,0.0640108763418621
"16",0.245479434668161,0.2008,0.154875899453434,0.745304735764169,0.409269785745518,0.111810210849301
"17",0.324676982988408,0.0406,0.189472933176677,0.74939315882915,0.724734982332155,0.342100474224769
"18",0.174464271130377,0.0449,0.0891543104595989,0.669215661865913,0.696030815608776,0.205761906959974
"19",0.39874724709197,0.0321,0.212915583118395,0.76592462557375,0.714077528417371,0.385775496530078
"20",0.581837574008631,0.0532,0.393221768187821,0.856718111471241,0.804337576614804,0.491753819794333
"21",0.0473089242013695,0.1694,0.0467206185244963,0.62846056214891,0.169917864476386,0.0458756249268262
"22",0.0651841092364109,0.2228,0.10683925310916,0.704061575914094,0.251483469906753,0.071244982418567
