"","Difference","Prevalence","R2","AUC","F1","IMV"
"1",0.180813966502182,0.0895,0.0819216421324169,0.666070773658802,0.715900294163183,0.136919989326044
"2",0.414615816102649,0.1429,0.239869623052292,0.793288549735628,0.626285079188663,0.22201167913309
"3",0.00490583187273341,0.00540000000000002,0.0380336849459961,0.611430157213537,0.593822843822844,0.183586881164462
"4",0.0584932551826118,0.0732,0.092565243859083,0.674258434046583,0.715492068502881,0.168904207249907
"5",0.211327550397051,0.0946,0.139636742182476,0.715545815978073,0.532112716349592,0.195112237390682
"6",0.421152510163987,0.0243,0.21753475701358,0.76811281173681,0.719814241486068,0.408572770803759
"7",0.170396455887652,0.1076,0.0719196233268707,0.657275931976816,0.406555206091707,0.106864058037776
"8",0.149496819300568,0.0391,0.104181110977781,0.682685103250803,0.592763664357198,0.242951554949238
"9",0.260681985071571,0.0439000000000001,0.111690280580294,0.692821973744077,0.60660594754746,0.241062633473821
"10",0.0102282579461775,0.1192,0.0428642854069907,0.618328848012073,0.289342054636399,0.0624203490512871
"11",0.347605606940016,0.1697,0.199116378712133,0.772491114565873,0.518877727745064,0.165069591880599
"12",0.0941022735044674,0.2449,0.0838909787058201,0.687355738609636,0.854077504836724,0.0488135300332219
"13",0.386040472106257,0.1393,0.216467775467148,0.778342475098496,0.790312784694807,0.208273007973445
"14",0.0467378023797859,0.3238,0.0893162907473374,0.709463756865488,0.904026139447306,0.0319785653377968
"15",0.0649762599479933,0.1175,0.0508595523210384,0.63225491783758,0.290485436893204,0.0732051204113036
"16",0.244921220791621,0.2582,0.141176981026955,0.750223964336761,0.861969168979978,0.0778928024183303
"17",0.238804585483605,0.1216,0.106841465163919,0.693496170967101,0.459740675524252,0.134381336819262
"18",0.46738709530867,0.1456,0.272461613646044,0.810953500829368,0.65534112530579,0.239879042569707
"19",0.0267975409322294,0.0502,0.0448996656737496,0.619628352938153,0.671176612708384,0.123592054158702
"20",0.250861315651828,0.14,0.140099837982731,0.721435373263889,0.784227353463588,0.145161932529343
"21",0.32723897935928,0.0765,0.161938628534709,0.734928992792274,0.728346456692913,0.244924767554166
"22",0.493837914519971,0.18,0.32440922541148,0.842577987132353,0.669255104975554,0.232826260828289
"23",0.0591930159168532,0.096,0.0707162619724641,0.652389776729351,0.735231681428885,0.114264243676033
"24",0.0304724035552233,0.1376,0.103587723302001,0.68958308232306,0.428621783574198,0.116120346039727
"25",0.0931723018512277,0.0497,0.0750158395314232,0.658006218319233,0.497176625082075,0.176990788131619
"26",0.000288700505255424,0.0184,0.0448552444799991,0.620681671947418,0.546727949223025,0.173338014796979
"27",0.0417620147646869,0.2081,0.0652491280814002,0.659973645148279,0.825375746966862,0.0482848362501673
"28",0.0960366046997487,0.1779,0.090788222813783,0.682339432472189,0.333480176211454,0.0798128024492189
"29",0.163974307893297,0.0124,0.157518409664541,0.721675219126772,0.645762185656628,0.379217564506704
