"","N","b","se","om","om.mean","om.sd"
"0.1 32",3609,0.1,0.0334496027874896,0.0340609970564492,0.0156188222004154,0.0233769415671926
"0.1 209",3638,0.1,0.0327989287336633,0.0708343891349366,0.0382114325601898,0.0418894306381472
"0.1 119",3733,0.1,0.0327723986102221,0.0134408331464161,0.0567694602711542,0.0400990697885098
"0.1 117",3837,0.1,0.0324027412991232,0.0512833884791306,0.0328092348736267,0.0356630445018219
"0.1 181",3863,0.1,0.0330363952507069,-0.0105636237944474,0.0501524614321343,0.0545987123588526
"0.1 11",4249,0.1,0.0314615224535234,0.0308063973437671,0.0221948088478324,0.0304675327950655
"0.1 89",4504,0.1,0.0295938029642571,0.0531983639981446,0.0172473225115219,0.0348499017019067
"0.1 70",4564,0.1,0.0292194494205089,0.0218442019800267,0.0173945585211169,0.0295151745952039
"0.1 132",4828,0.1,0.0292199004126943,0.0230872029857732,0.0262230426006311,0.0326865026543594
"0.1 218",4941,0.1,0.029120945063747,0,0.0311138534049834,0.0447691192496846
"0.1 161",5214,0.1,0.027769970116709,0.0543588215595396,0.0380462344957073,0.026670880144339
"0.1 78",5266,0.1,0.0278310603041177,0.0633375793462576,0.0445531955637544,0.0204905450112888
"0.1 194",5286,0.1,0.0279700629605964,0.0416153477807132,0.0223255303563209,0.0237122847435335
"0.1 28",5342,0.1,0.0274718023849466,0.0467061920996432,0.0331405242323647,0.0198174887022943
"0.1 93",5690,0.1,0.0265749994178144,0.0275717340530977,0.0104302153593937,0.0187315957768134
"0.1 208",5986,0.1,0.0261760136841779,0.0507371801686136,0.0341043697280076,0.0236506960373617
"0.1 153",5995,0.1,0.0260856046429669,0.048263770306987,0.0453258506486523,0.0429850349028169
"0.1 250",6209,0.1,0.0254518581271184,0.0221585511859419,0.0281237135676312,0.0266888444237112
"0.1 240",6306,0.1,0.0250287837280507,0.0447086264491838,0.0290401550877847,0.0281469322955101
"0.1 129",6312,0.1,0.0252240668158078,0.0440769533566681,0.0250988842621676,0.0240823290933539
"0.1 9",6345,0.1,0.0250923860471668,0.0497227986321109,0.0288194286809042,0.0247160600136387
"0.1 232",6451,0.1,0.0248291713065972,0.0510604486228767,0.0368864798218039,0.0373303479248011
"0.1 146",6599,0.1,0.0249410085213439,0.0462897814201619,0.0217273539424907,0.0302590352905838
"0.1 99",6759,0.1,0.0243783951267735,0.0437959045393163,0.0381918865197544,0.0295479997444761
"0.1 147",7133,0.1,0.0237076375944335,0.05618888972702,0.0302297901189179,0.0342022228071712
"0.1 184",7498,0.1,0.0232767292444413,0.0485995522617058,0.0219813922066507,0.0238871459291531
"0.1 62",7519,0.1,0.0230741503979129,0.0486769624881584,0.0160552361993829,0.0215485923864006
"0.1 242",7750,0.1,0.0229095249490762,0.0639698286803982,0.0273899515481387,0.0403510644586684
"0.1 112",7794,0.1,0.0230414278693824,0.0453927992804162,0.0244653380854559,0.0272088236849772
"0.1 141",8243,0.1,0.0221215195883731,0.0610929136535208,0.0360031119592686,0.025822453724704
"0.1 144",8279,0.1,0.0221719945690045,0.0531265871552161,0.0368864176510415,0.0249303093666244
"0.1 85",8280,0.1,0.0220419793955322,0.0327159221494784,0.00812416090438901,0.0211952124362056
"0.1 100",8332,0.1,0.0219452069987551,0.0165344736385551,0.0279069793873976,0.0254293679065996
"0.1 96",8494,0.1,0.0216899707891806,0.0423884297477786,0.0312944038202698,0.0305358946775838
"0.1 27",8513,0.1,0.0216793586141183,0.0395519824030093,0.0353022546005725,0.0317638032427581
"0.1 47",8906,0.1,0.0211428608475345,0.0443389911047768,0.03124445894906,0.0255599625432961
"0.1 8",8911,0.1,0.0211632758151849,0.0283648719030312,0.0280855969836267,0.0272648670455078
"0.1 12",9693,0.1,0.0199918887443934,0.0469678884577702,0.0283915343889068,0.022236300929756
"0.1 113",9938,0.1,0.0199458312480163,0.0590933479560121,0.0480007932310456,0.0296657255354711
"0.1 95",9952,0.1,0.020102488723938,0.0381312168323809,0.0336922224765062,0.0255565219161819
"0.1 118",10621,0.1,0.0194156978633766,0.0368249878206198,0.0305099123056851,0.0192900371819283
"0.1 177",10722,0.1,0.0190823511148909,0.0269643895443126,0.0292340620526775,0.0251372139858613
"0.1 201",11315,0.1,0.0190635683668054,0.0373864463001647,0.0499301323988846,0.0295882784292199
"0.1 82",11830,0.1,0.0183239043628754,0.0415308748554923,0.0288749598735129,0.0264499910185841
"0.1 154",12767,0.1,0.0177270363062023,0.0541265798705157,0.0454933805688459,0.0215834788952218
"0.1 225",13002,0.1,0.0175420357640074,0.0306673099006951,0.0321439860134239,0.030692900975943
"0.1 46",13029,0.1,0.01773247693938,0.0443155103152704,0.025716515077563,0.0289068554607896
"0.1 211",13388,0.1,0.017306902855352,0.0508684910906859,0.0438717086419394,0.0292287534045702
"0.1 152",13742,0.1,0.0170135660133165,0.0551253118884103,0.0308704499771003,0.0248848552606401
"0.1 235",14113,0.1,0.0170154003936931,0.0477046902705869,0.0585529054366105,0.0198312838621181
"0.1 106",15039,0.1,0.0161716742232118,0.0420600795596742,0.0337481444119924,0.0238204175140453
"0.1 220",15161,0.1,0.0162737300936433,0.0449139668003,0.0441078007323206,0.0339100411525723
"0.1 180",15500,0.1,0.016164561193857,0.0260257562654567,0.0382381105587541,0.0182415465654024
"0.1 15",15651,0.1,0.0161006036564328,0.0434957066236012,0.0439927867324049,0.0238168926631345
"0.1 37",16795,0.1,0.0153488348882108,0.031952872845411,0.0220271736319683,0.018547863472131
"0.1 109",16803,0.1,0.0154585747008161,0.0585336485119614,0.0394797623678488,0.0133058478218553
"0.1 189",17418,0.1,0.0151171483626175,0.0562492147562623,0.0509217753344067,0.0331657570546524
"0.1 213",18083,0.1,0.0148480350094622,0.0481330816327867,0.0491085142693506,0.0224316200940696
"0.1 130",18636,0.1,0.0147894997615723,0.0526977896136034,0.0605085367366301,0.0160895388465964
"0.1 237",19525,0.1,0.0143978066973157,0.0616067072764366,0.0353813088315777,0.0233165423810605
"0.1 72",20426,0.1,0.0140198785366541,0.0538598633083747,0.0354628846591471,0.028024534067851
"0.1 17",21207,0.1,0.0138994311049836,0.0519624923046427,0.0548284366250246,0.0229395720361866
"0.1 104",21470,0.1,0.0136983608949858,0.0350697926849351,0.0407092640757854,0.0303435045643482
"0.1 155",23582,0.1,0.0131154444904629,0.0400679685832572,0.0381980983276176,0.0327892667837749
"0.1 84",24256,0.1,0.0129330442882006,0.0361471194775734,0.0377024333957713,0.0203919871433866
