"","N","b","se","om","om.mean","om.sd"
"0.5 174",102,0.5,0.205574068162732,0.376222362306206,0.29503731897208,0.209003150516937
"0.5 162",104,0.5,0.18966688236198,0.141736476477237,0.0201388634848381,0.15286466237943
"0.5 57",105,0.5,0.225218236041244,0.197724066169881,0.0361583560083962,0.0913016490475817
"0.5 59",105,0.5,0.227837688424287,0,0.160032162583629,0.248464530470243
"0.5 214",105,0.5,0.209677635892617,0.33321471178552,0.23908822343385,0.165991519313269
"0.5 53",108,0.5,0.188461124726154,0.347326149280829,0.163271533891262,0.169196247422281
"0.5 80",119,0.5,0.204436215301573,0.160385082808819,0.112903654746403,0.104107291843705
"0.5 120",120,0.5,0.235621833314726,0.290407215292818,0.166182581302251,0.223691286552324
"0.5 133",120,0.5,0.231688026515798,0.17509024453504,0.221872212787315,0.285434525105626
"0.5 5",127,0.5,0.197824727101543,0.260149256738411,0.103891400357912,0.163983920005432
"0.5 124",130,0.5,0.195587354348004,0,0.144745856272053,0.152625235081922
"0.5 159",130,0.5,0.192664412093811,-0.0643578641958124,0.239917276526022,0.201870790662558
"0.5 191",139,0.5,0.20756201045029,0.226715782453591,0.156509826246033,0.224687112002833
"0.5 140",140,0.5,0.210241641975512,0.155649999371668,0.174819657512372,0.176947293801455
"0.5 163",140,0.5,0.185457012883172,0.165342039823824,0.107562448581384,0.131695094467492
"0.5 178",140,0.5,0.154264878930744,0.137179155366105,0.056879550363482,0.0867372565182557
"0.5 7",147,0.5,0.197808122219679,0.193633925117584,0.0883079999702435,0.211863031834402
"0.5 77",153,0.5,0.18759218925628,0.21509039323792,0.133688116935572,0.132311479104041
"0.5 228",158,0.5,0.208748390973095,0,0.347796824033187,0.227909309665977
"0.5 110",161,0.5,0.159348861472628,0.203496201563613,0.0292896238013119,0.16221545421136
"0.5 202",166,0.5,0.171571428099894,0.0512953323092799,0.0774008606949012,0.159138067421057
"0.5 52",169,0.5,0.162259557328683,0.164791035583596,0.166334499013574,0.167863768595125
"0.5 1",171,0.5,0.163963311150715,0.247047327390202,0.154699896446165,0.174395482101543
"0.5 158",173,0.5,0.152789948298926,0.277713169969021,0.128938874450877,0.168442733751202
"0.5 195",174,0.5,0.147150714527345,0.219128857574293,0.0877963291315217,0.130622656094163
"0.5 173",180,0.5,0.177247328890303,0.226876050553605,0.127673508295472,0.114652156907519
"0.5 60",188,0.5,0.16857799163514,0.28164244847868,0.124486228987195,0.185459754039304
"0.5 16",207,0.5,0.138738536600956,0.211094437578548,0.0406799430723714,0.135311431158132
"0.5 3",236,0.5,0.152050033458003,0.177346201448449,0.184428646454757,0.147751132178305
"0.5 128",244,0.5,0.142482536749423,0.186940126475694,0.140997142601943,0.181929615082157
"0.5 199",254,0.5,0.14579366940713,0.0718267362982336,0.153156072989354,0.218561455021733
"0.5 183",266,0.5,0.131604724587508,0.187911395021585,0.201379293834507,0.165444425309788
"0.5 121",269,0.5,0.135684961145703,0.137007999260926,0.0490957419762465,0.131253855568931
"0.5 73",281,0.5,0.142665764048101,0.261321272977783,0.160200190369539,0.128015165957452
"0.5 176",323,0.5,0.126814052576385,0.218380721252129,0.156963500307471,0.134724149573586
"0.5 40",329,0.5,0.121380526245809,0.170593429592358,0.225936067031049,0.163789532670287
"0.5 241",332,0.5,0.11211426790592,0.341923462363722,0.173044967081278,0.114576726553288
"0.5 38",336,0.5,0.11696610501327,0.190938143050568,0.148062368308326,0.187463897856357
"0.5 88",341,0.5,0.119063213819607,0.227040089027919,0.110701343122401,0.180462004622483
