"","N","b","se","om","om.mean","om.sd"
"0.5 76",351,0.5,0.120301850572406,0.232953591146152,0.113268766579464,0.121323598257945
"0.5 243",353,0.5,0.11356448361357,0.237317313447475,0.194928768130575,0.154325047503644
"0.5 69",358,0.5,0.108723850551082,0.280100457756843,0.110619897788553,0.123422433406204
"0.5 116",402,0.5,0.113738343439109,0.267600302250194,0.129220298455134,0.161891216540652
"0.5 67",453,0.5,0.103672750172845,0.216962297306506,0.107483275314979,0.109760844068071
"0.5 33",458,0.5,0.104520707683254,0.221311436726545,0.271350833185017,0.121103739735166
"0.5 26",471,0.5,0.105019659274127,0.195835406917201,0.241504842362425,0.165373723218617
"0.5 151",475,0.5,0.0951686893400746,0.154610546887638,0.109713461193394,0.0802903523441171
"0.5 142",512,0.5,0.098308208774003,0.187992163360732,0.132103039014662,0.0928463323745401
"0.5 65",517,0.5,0.0942220811948208,0.251872792744478,0.156833960403607,0.12557416358142
"0.5 135",555,0.5,0.0899340622696222,0.254643474709075,0.138933244429373,0.148553518251847
"0.5 134",563,0.5,0.084023692443356,0.183091795125427,0.114936147612053,0.109580292657155
"0.5 126",566,0.5,0.0883356742352916,0.168439418754107,0.132242475797313,0.115644738944685
"0.5 94",573,0.5,0.0856027801912329,0.217103855746892,0.132603466833962,0.117260863516068
"0.5 249",628,0.5,0.0847876629576729,0.221920288408369,0.137412213093589,0.103496590897623
"0.5 212",636,0.5,0.0833943676333335,0.287217932288917,0.170432612403898,0.155874292848464
"0.5 122",639,0.5,0.0848559744664668,0.179094198843773,0.185109813021385,0.119306932041404
"0.5 97",651,0.5,0.0962650046420405,0.153933986363288,0.232267672986028,0.105255640933882
"0.5 171",701,0.5,0.0813004312173446,0.252476479101136,0.149083338565711,0.106514426509393
"0.5 44",719,0.5,0.0808203195564651,0.195411300609331,0.209228882027682,0.107713146820989
"0.5 233",727,0.5,0.0865030665383189,0.255087266929839,0.232895657528067,0.105566547682312
"0.5 143",729,0.5,0.0771610330366823,0.218098112534444,0.18187619925146,0.150781890952969
"0.5 186",740,0.5,0.0790912265932545,0.266700428245163,0.146923238293241,0.0973145886755946
"0.5 108",796,0.5,0.0763624998966698,0.258726159403264,0.16049707551308,0.0791960509252461
"0.5 51",799,0.5,0.0789020890007538,0.221466792304054,0.265343294787107,0.127487358611558
"0.5 71",808,0.5,0.0770825540501553,0.207657336347771,0.214278416165693,0.122319493411369
"0.5 48",820,0.5,0.081027059879731,-0.00451542000347315,0.254084844484414,0.0816941137044731
"0.5 31",823,0.5,0.0767945863992293,0.257338656344567,0.219421463627758,0.0902920038655296
"0.5 101",853,0.5,0.0737224912697606,0.186774538118942,0.188656310026731,0.121106198421504
"0.5 224",871,0.5,0.0743339263739641,0.13846567698692,0.12551860060409,0.112272499542794
"0.5 14",915,0.5,0.0734934729987322,0.291723695405299,0.237825231344866,0.0927990479329775
"0.5 45",937,0.5,0.0722813842420448,0.293966991670354,0.190093997406013,0.101547584065092
"0.5 175",967,0.5,0.0689992247843712,0.145751934281228,0.178023335028385,0.0585868342282231
"0.5 185",974,0.5,0.0665817030717098,0.246142315582732,0.16676327921727,0.103224549766829
"0.5 43",1013,0.5,0.0670601646634467,0.222796128082518,0.159639875061542,0.119195458045136
"0.5 149",1016,0.5,0.0676497115126521,0.178836327169523,0.131637584288508,0.0847143304978485
"0.5 217",1059,0.5,0.0681176552643896,0.199462425321692,0.146646999911089,0.138919245918161
"0.5 197",1062,0.5,0.0683664477534663,0.253469724425378,0.202708905974632,0.117623398231023
"0.5 210",1072,0.5,0.0659903888913347,0.242787383594257,0.136642737911261,0.123972270258876
"0.5 179",1082,0.5,0.066870601242493,0.223827231093517,0.229860243399011,0.123987262252009
"0.5 83",1090,0.5,0.067597459692397,0.209764089728889,0.172095138361345,0.0978046605598635
"0.5 75",1120,0.5,0.0636917908029253,0.279077332397821,0.162155628310524,0.103927181230588
"0.5 50",1132,0.5,0.0612749461540835,0.261092909256551,0.157481064563288,0.10746645629111
"0.5 2",1176,0.5,0.0629120151769258,0.182381226070695,0.198984990786672,0.107436147699813
"0.5 193",1245,0.5,0.0639497150401113,0.231508419245114,0.17498409558167,0.0920509244046793
"0.5 166",1267,0.5,0.0629014685789204,0.186289455621434,0.216730771023832,0.106988578019802
"0.5 81",1419,0.5,0.0569048287700598,0.240657563056026,0.153502744286379,0.103964946875001
"0.5 107",1511,0.5,0.0550519848961105,0.260550684845832,0.224074715609552,0.0810920251543127
"0.5 90",1516,0.5,0.0558447139354687,0.210787803095214,0.197546476098075,0.0787313955185844
"0.5 103",1530,0.5,0.0563804631335908,0.195420799706139,0.208352785991403,0.102452248232711
"0.5 56",1537,0.5,0.0558164338737904,0.233082809600943,0.193583744100442,0.0896625418131432
"0.5 39",1577,0.5,0.0547195282751184,0.25620204934679,0.151327168664127,0.0976226442287289
"0.5 21",1593,0.5,0.0537986417514254,0.253021942123227,0.141204482612328,0.0783636298212205
"0.5 6",1628,0.5,0.054209855502025,0.220085611313895,0.163741531190559,0.0964126180213562
"0.5 4",1630,0.5,0.051930410109536,0.235981767088631,0.153606891097175,0.0796433510196245
"0.5 200",1669,0.5,0.0509994574599787,0.240965857858487,0.175643220190947,0.0528036649772201
"0.5 206",1669,0.5,0.0521068386637495,0.196185611131532,0.164683224444557,0.105963692208699
"0.5 105",1725,0.5,0.052832767298508,0.188834353133132,0.199872334565748,0.139419323282091
"0.5 36",1729,0.5,0.052649065746436,0.241808943802934,0.223031092443207,0.0722257097417765
"0.5 219",1781,0.5,0.0515811030448533,0.217152418922991,0.254792840586804,0.0729977743979927
"0.5 246",1795,0.5,0.0520974372801526,0.224088579317775,0.221272857456514,0.0560209575649493
"0.5 111",1811,0.5,0.0515039259341637,0.211008700684365,0.179544892397882,0.107129392019337
"0.5 19",1839,0.5,0.0497060613953267,0.173932830138258,0.171028097127864,0.0962271593559469
"0.5 136",1840,0.5,0.0505980997281066,0.240940075475019,0.187618723469947,0.0509382861818216
"0.5 198",1858,0.5,0.0508173043808057,0.254126379911553,0.247100735674984,0.0666221855134835
"0.5 66",1931,0.5,0.0482517423370713,0.249117060946989,0.194436284736301,0.0586510873929036
"0.5 49",1985,0.5,0.049213736027882,0.185747148531627,0.209414926770244,0.0696353313524172
"0.5 18",2023,0.5,0.0498250844541307,0.21555085974017,0.204949790633476,0.0874995736977033
"0.5 20",2059,0.5,0.048565469783605,0.228716191480534,0.185062897421309,0.0443838537600223
"0.5 24",2148,0.5,0.0456725518491745,0.235741130696677,0.154276938474411,0.102900340114382
"0.5 221",2226,0.5,0.0460853793882341,0.218064686268627,0.198199456859545,0.0847139826523014
"0.5 54",2291,0.5,0.0463306994214058,0.200659506271354,0.245649332177153,0.0765508133787487
"0.5 64",2364,0.5,0.0451304201501537,0.192281834031623,0.195606072606418,0.0317370778095434
"0.5 91",2490,0.5,0.0431972012775151,0.268785814514763,0.195566790410472,0.0296804631223948
"0.5 230",2628,0.5,0.0412879786975973,0.217890345827404,0.159612159447836,0.0843380325586814
"0.5 168",2702,0.5,0.0411531207175239,0.237667783223122,0.179593681160211,0.0781246975905525
"0.5 170",2751,0.5,0.0407100061136048,0.242759186775834,0.212629942547422,0.0741867451035478
"0.5 231",2809,0.5,0.0411999043969399,0.187136455760429,0.237886434539153,0.0521993622347033
"0.5 187",2811,0.5,0.0424744893276759,0.219697674177003,0.255133204742217,0.0385302755912282
"0.5 61",3038,0.5,0.0401135058149786,0.223343443533617,0.187279429105922,0.0806900055512201
"0.5 10",3128,0.5,0.0400395637968395,0.238582393827556,0.238912890838599,0.10135611954132
"0.5 114",3155,0.5,0.0386045185267429,0.229354662765941,0.20638687935027,0.0952668732160103
"0.5 127",3180,0.5,0.0382179940868444,0.244526219989151,0.208467140463072,0.0589139193093519
"0.5 172",3200,0.5,0.0387035069834855,0.23502413684191,0.229777841181905,0.0817534754045373
"0.5 25",3246,0.5,0.03824748478283,0.177880913366756,0.216190396242967,0.0313242058833594
"0.5 234",3376,0.5,0.0365435603741974,0.246353602497521,0.204058336913571,0.0696409720105497
"0.5 239",3430,0.5,0.0374905578229914,0.252453124937767,0.237611766736737,0.0668684720411721
"0.5 157",3437,0.5,0.0373314175253486,0.211028805344129,0.21829446678813,0.0424509789936551
"0.5 248",3454,0.5,0.0378266062310511,0.233883683652341,0.227946780969255,0.0795484979104336
"0.5 32",3609,0.5,0.0360579642883514,0.229280362447377,0.249027601232547,0.0384228124988865
"0.5 209",3638,0.5,0.0358080403064097,0.229298719427373,0.205021066908078,0.0626791716327921
"0.5 119",3733,0.5,0.0363143120967568,0.244037481729191,0.260375194416665,0.0427104576108618
"0.5 117",3837,0.5,0.0350986951056142,0.215226878741249,0.19770662063246,0.0883706000985509
"0.5 181",3863,0.5,0.034953535282586,0.205109805919745,0.231225337187102,0.0466037951977779
"0.5 11",4249,0.5,0.0328155650544877,0.189995790931262,0.205348667710651,0.0449069205928408
"0.5 89",4504,0.5,0.0323187635221927,0.226507203332294,0.231032187224625,0.0518367173591805
"0.5 70",4564,0.5,0.032575445611743,0.23855615965078,0.212983844165105,0.0498348692511652
"0.5 132",4828,0.5,0.0309687009069297,0.25763670896845,0.218155073328226,0.0327277532887644
"0.5 218",4941,0.5,0.0314958823903308,0.21303467370335,0.208771865090212,0.0402565644129411
"0.5 161",5214,0.5,0.0307884913591167,0.241659066323834,0.234998807637352,0.0376448128751464
"0.5 78",5266,0.5,0.0300843318131013,0.245747011064497,0.231104606605451,0.0316769365483804
"0.5 194",5286,0.5,0.0294799535510355,0.250927013688012,0.221134087045245,0.0354878001476922
"0.5 28",5342,0.5,0.0296440826584192,0.223174211133274,0.210966208987006,0.0429744173886114
"0.5 93",5690,0.5,0.0295125457929172,0.235216840786628,0.23262337062171,0.0420730979396034
"0.5 208",5986,0.5,0.0284861275377452,0.211353952436113,0.222794886670531,0.0385486630488044
"0.5 153",5995,0.5,0.0277954874565279,0.210708358374873,0.240393892321023,0.0264614304141601
"0.5 250",6209,0.5,0.0271647596169487,0.233933364770965,0.229438704380384,0.0380225530220225
"0.5 240",6306,0.5,0.0275018995756186,0.220651771799991,0.190577558967447,0.0647689180949765
"0.5 129",6312,0.5,0.0270038106494584,0.242341667296123,0.209489025962593,0.0367158027426083
"0.5 9",6345,0.5,0.0265759274612718,0.21791491287201,0.200861462424593,0.0353019174618472
"0.5 232",6451,0.5,0.0271977199741498,0.236074010436231,0.215804337826265,0.0272542259444507
"0.5 146",6599,0.5,0.0260862362795063,0.247527900566764,0.180724532056411,0.0267680463666951
"0.5 99",6759,0.5,0.0261487754655537,0.231758181639798,0.206768102899914,0.0465793416949069
"0.5 147",7133,0.5,0.0256091602417101,0.254897334051408,0.225457904493059,0.0473860288390106
"0.5 184",7498,0.5,0.0248560710954734,0.228939390869269,0.210000647557643,0.038703699962244
"0.5 62",7519,0.5,0.0248850113022247,0.234327456747326,0.231436387455987,0.0179314906046906
"0.5 242",7750,0.5,0.0246501156897269,0.231644869861248,0.231377463355761,0.0415350172304062
"0.5 112",7794,0.5,0.0246996146943604,0.225471574627976,0.221522414654956,0.035537982695612
"0.5 141",8243,0.5,0.0245842157441927,0.249476919730895,0.246274507023841,0.0431404718465431
"0.5 144",8279,0.5,0.0239313662065372,0.237382783166088,0.243773363373246,0.0278429320795406
"0.5 85",8280,0.5,0.0238689997900377,0.237759940748199,0.230713003937754,0.0330486735781859
"0.5 100",8332,0.5,0.0240065445201171,0.23954865861482,0.250454908478121,0.020190522838941
"0.5 96",8494,0.5,0.0233275121472518,0.235432358396109,0.215008224834635,0.0439472122704696
"0.5 27",8513,0.5,0.0234657266981827,0.242140010232672,0.209386881403953,0.0305191693722907
"0.5 47",8906,0.5,0.0231626146875917,0.246744878135552,0.247175713226863,0.0269442464286722
"0.5 8",8911,0.5,0.0231574943867886,0.248879049130061,0.234800278859104,0.0165311300918132
"0.5 12",9693,0.5,0.0221547280245148,0.221558679216215,0.24535664399189,0.0313793198438216
"0.5 113",9938,0.5,0.0216136772990087,0.232313293566861,0.23595190937377,0.0415558641268833
"0.5 95",9952,0.5,0.0218796271045849,0.248433988618413,0.231222667509255,0.0261193370368735
"0.5 118",10621,0.5,0.0211233620663399,0.236072777431199,0.21510351034238,0.032331535433408
"0.5 177",10722,0.5,0.0211077503394577,0.237045409946369,0.232571168790017,0.0262143686136281
"0.5 201",11315,0.5,0.0203030612569782,0.233805084258442,0.207070239285413,0.0295188502270203
"0.5 82",11830,0.5,0.0199316782338989,0.236329070382398,0.23579589764049,0.0238158414518161
"0.5 154",12767,0.5,0.0192627710305968,0.232029705024376,0.234120458309096,0.0317973205064966
"0.5 225",13002,0.5,0.0192831972794505,0.237258692322699,0.234631220715793,0.0299094542173696
"0.5 46",13029,0.5,0.0187678682016,0.206026618524418,0.208452134276372,0.025339785529709
"0.5 211",13388,0.5,0.0189079279423549,0.243846085848027,0.22727120003383,0.0361736101013737
"0.5 152",13742,0.5,0.0184373801808983,0.233280999917392,0.227411444408222,0.0375285767479686
"0.5 235",14113,0.5,0.0182375415453841,0.247471465077891,0.239302653014115,0.0286226532892979
"0.5 106",15039,0.5,0.017767558140458,0.237434421578135,0.242069113200462,0.0319786902739565
"0.5 220",15161,0.5,0.0177416689832852,0.247003721713502,0.231706974203437,0.0202950793127949
"0.5 180",15500,0.5,0.0177638404983206,0.224900781227548,0.24587200998165,0.0182778805620231
"0.5 15",15651,0.5,0.0173625807565686,0.241289549733956,0.225704003795371,0.0419638699245873
"0.5 37",16795,0.5,0.0168508862225613,0.230071608940695,0.239714998103667,0.0321741210295231
"0.5 109",16803,0.5,0.0167731640155761,0.239251789915177,0.236614400388014,0.0119008646945767
"0.5 189",17418,0.5,0.0163998156169439,0.227540719895096,0.230474614729228,0.0275185257284191
"0.5 213",18083,0.5,0.0162266985245072,0.248475146630203,0.23500080766405,0.019614006509512
"0.5 130",18636,0.5,0.0160644993770231,0.231321779354778,0.230038714152049,0.0330189387797431
"0.5 237",19525,0.5,0.0154742652111538,0.242211413507526,0.234782953891488,0.0267583806260993
"0.5 72",20426,0.5,0.0152576824239513,0.244604851718583,0.22773142659849,0.027130731249352
"0.5 17",21207,0.5,0.015036700221326,0.225239286684661,0.24084534762661,0.0185737399021238
"0.5 104",21470,0.5,0.0148778506979186,0.223162123821634,0.234470356578209,0.020343716868996
"0.5 155",23582,0.5,0.0140061176870613,0.244488247295032,0.227619890744834,0.0112674790704278
"0.5 84",24256,0.5,0.0138841947429074,0.24238824221635,0.230006586094295,0.0204075567359087
"0.5 196",24467,0.5,0.0139187062696028,0.249842858401359,0.22669008941829,0.017931875440066
"0.5 169",25106,0.5,0.0137970344181151,0.241203482602341,0.229380599724631,0.023575710380617
"0.5 192",25438,0.5,0.0137006480109603,0.228849072677146,0.235441094755064,0.0171412539740878
"0.5 137",25549,0.5,0.0135145559483078,0.23046410561658,0.2292626838466,0.0130058456332037
"0.5 227",26659,0.5,0.0133835649737863,0.230819095256432,0.237118909033538,0.0156771662044924
"0.5 150",26895,0.5,0.0134023414189156,0.233082892096474,0.233017397566358,0.0133114910318038
"0.5 139",29544,0.5,0.0125985585545981,0.234084892476488,0.233212670288791,0.0185083131024231
"0.5 98",31815,0.5,0.012111277026704,0.234624725657503,0.224028905017871,0.0253752852616789
"0.5 222",31817,0.5,0.0120854728096625,0.237073473961445,0.231299154200127,0.0216371293124853
"0.5 247",33215,0.5,0.0118355834692445,0.245330829707182,0.232228498628834,0.0135007045871013
"0.5 79",33294,0.5,0.0118707110905912,0.238833684471785,0.234732861100823,0.0131201569068615
"0.5 148",34639,0.5,0.0116859714743636,0.238523912157018,0.220961840417002,0.0161452110398217
"0.5 190",35305,0.5,0.0115982218083474,0.243256152744705,0.24755730457815,0.0149993437512679
"0.5 236",35843,0.5,0.0114088716933592,0.239696352578922,0.213763542233031,0.018271343223599
"0.5 115",35992,0.5,0.0113788222358368,0.240079348577564,0.227117813552405,0.0160009746936485
"0.5 205",36121,0.5,0.0114572657000533,0.244125776683772,0.237595285507773,0.0168115166829927
"0.5 244",36760,0.5,0.0114184876968594,0.244598096117295,0.239927510696245,0.0157546399411236
"0.5 102",37489,0.5,0.0112050559877451,0.243670201025559,0.223421803202295,0.0133113274422065
"0.5 30",38657,0.5,0.0110663814751929,0.242289845469308,0.229762450541288,0.0133645756970735
"0.5 23",39262,0.5,0.0109957171966783,0.242346580684724,0.234592579597274,0.0156788777928744
"0.5 207",39881,0.5,0.0109184208456262,0.236146191407992,0.244841248802925,0.0108771944469409
"0.5 226",39886,0.5,0.0109086864915136,0.237127880065357,0.228542708360171,0.0213424395876135
"0.5 164",40207,0.5,0.0108591598642031,0.242109961233892,0.236643663671586,0.0134573768687962
"0.5 245",40328,0.5,0.0107422690589055,0.233297156755324,0.234698016041506,0.0160592700788931
"0.5 156",41005,0.5,0.0107401872836419,0.239000551432617,0.225611891134973,0.0208991358950139
"0.5 204",42085,0.5,0.0106131157874467,0.238658965324313,0.231584444214569,0.0176776896769136
"0.5 41",42663,0.5,0.0105635692983798,0.245870888766749,0.236608195502202,0.020517396802796
"0.5 138",42739,0.5,0.0105057404144964,0.231687721820114,0.213456739365054,0.0205996379288298
"0.5 13",44667,0.5,0.0102840688602109,0.237465287552149,0.230441982131226,0.0141076637014497
"0.5 229",46242,0.5,0.0102102312351524,0.232387442134384,0.240595256809633,0.0141786207110794
"0.5 68",49169,0.5,0.00978725058285998,0.23180720600562,0.234067927582595,0.0143141880377887
"0.5 29",52020,0.5,0.00948710439848979,0.228206210687013,0.223514235676065,0.0137435040480251
"0.5 63",55943,0.5,0.00923091175047343,0.232926610069249,0.23232247327928,0.00795208584795331
"0.5 125",57122,0.5,0.00909808899699708,0.243288044349135,0.234617790338921,0.013615791424636
"0.5 223",58272,0.5,0.0090780329404182,0.239704884433179,0.243411066021427,0.00954245307933545
"0.5 55",60145,0.5,0.0089034169775672,0.230862812485697,0.237036833506107,0.0136151323461529
"0.5 188",60967,0.5,0.00877892643523762,0.242140049455973,0.233021350658737,0.00901836151569212
"0.5 87",62994,0.5,0.00869670150956792,0.2352471260744,0.23408903354497,0.0129313818777446
"0.5 160",63199,0.5,0.00860279797828128,0.234848410351846,0.230521039627147,0.0176507213950215
"0.5 167",63633,0.5,0.00864776661496782,0.235432905306425,0.231563661382839,0.0135563364170922
"0.5 182",64268,0.5,0.00856810869771514,0.237015351627267,0.235952658019975,0.0121547142609791
"0.5 92",65925,0.5,0.00847537581242651,0.234887219240193,0.228766228412302,0.0123177077514992
"0.5 42",67891,0.5,0.00833111946560027,0.239740964639032,0.231146804891273,0.0105175344582186
"0.5 238",68492,0.5,0.00833123084053023,0.235139055430681,0.233444973414448,0.0107893710860825
"0.5 123",69491,0.5,0.00825295189977036,0.23601617546404,0.234745172647778,0.0123585677701005
"0.5 35",72965,0.5,0.00806823719104858,0.245331443827186,0.236595302394852,0.0127112954081534
"0.5 58",73606,0.5,0.00805418482795913,0.241174284597755,0.234196194202227,0.0144336729493812
"0.5 215",76532,0.5,0.00783536259978529,0.233689467516217,0.231488262227055,0.0181452216646764
"0.5 216",77352,0.5,0.00778499461764773,0.241231335241106,0.227965630644497,0.0120381894368442
"0.5 22",77548,0.5,0.00779296006648161,0.232239390516852,0.235294957459888,0.0119589171101866
"0.5 165",79336,0.5,0.00770976594013981,0.236229934426729,0.233227578922935,0.014705510488
"0.5 131",83965,0.5,0.00752232842131311,0.239686503388624,0.233579952223253,0.00861868888325518
"0.5 74",84712,0.5,0.00753155477518803,0.227145710306655,0.239477942639948,0.00750127424096971
"0.5 86",87425,0.5,0.00737243350490152,0.237904394524792,0.238706479725431,0.0139421682923049
"0.5 203",89021,0.5,0.00730063294018731,0.237001297803203,0.232595856747097,0.0115091448231037
"0.5 34",91197,0.5,0.00716324591737049,0.236519901810862,0.226322693443576,0.00674171619908711
"0.5 145",98088,0.5,0.00695595794322665,0.241099258309701,0.235502780678357,0.00457095895357385
