,V1,V2,V3,V4,V5
dead 74,dead,74,0.12340081,0.002480939,6175
hibp 75,hibp,75,0.664495114,-0.000153334,10438
diab 75,diab,75,0.230915486,0.001345886,10519
cancr 75,cancr,75,0.206537186,-9.84E-05,10555
lung 75,lung,75,0.129569688,0.000151554,10504
heart 75,heart,75,0.336546804,0.00052745,10373
strok 75,strok,75,0.090005733,0.002046926,10466
psych 75,psych,75,0.136819964,0.001796506,10459
arthr 75,arthr,75,0.717100836,0.000597793,10403
proxy 75,proxy,75,0.029989055,0.004091642,13705
dead 75,dead,75,0.12933503,0.003233232,6286
hibp 76,hibp,76,0.669175258,0.000612671,9700
diab 76,diab,76,0.232479508,0.001218779,9760
cancr 76,cancr,76,0.215436378,-0.000223289,9808
lung 76,lung,76,0.132075472,7.05E-05,9752
heart 76,heart,76,0.346058091,0.00241029,9640
strok 76,strok,76,0.093193286,0.002022638,9711
psych 76,psych,76,0.137182258,0.002855974,9717
arthr 76,arthr,76,0.720186335,0.000946464,9660
proxy 76,proxy,76,0.032035371,0.004205237,12892
dead 76,dead,76,0.129310345,0.002443847,6148
hibp 77,hibp,77,0.670399113,0.000714562,9020
diab 77,diab,77,0.225349016,0.00056531,9097
cancr 77,cancr,77,0.218777388,4.63E-05,9128
lung 77,lung,77,0.131813677,-6.64E-06,9081
heart 77,heart,77,0.357946319,0.001400504,8979
strok 77,strok,77,0.098474801,0.002226886,9048
psych 77,psych,77,0.139807543,0.002193848,9041
arthr 77,arthr,77,0.730337079,0.000204561,8989
proxy 77,proxy,77,0.033870437,0.004439654,12164
dead 77,dead,77,0.128459785,0.002624787,6142
hibp 78,hibp,78,0.672759857,-0.0001349,8370
diab 78,diab,78,0.224460773,0.001138906,8438
cancr 78,cancr,78,0.22609209,-0.000100766,8470
lung 78,lung,78,0.128339072,-5.12E-05,8423
heart 78,heart,78,0.373277412,0.002024466,8345
strok 78,strok,78,0.100619933,0.001957048,8388
psych 78,psych,78,0.135135135,0.001826987,8399
arthr 78,arthr,78,0.731115648,0.000601723,8327
proxy 78,proxy,78,0.034121889,0.004994758,11371
dead 78,dead,78,0.129660453,0.002530665,6008
hibp 79,hibp,79,0.675661583,-0.000198806,7671
diab 79,diab,79,0.213040671,0.001045102,7745
cancr 79,cancr,79,0.227571116,-9.74E-05,7769
lung 79,lung,79,0.119352751,-3.82E-05,7725
heart 79,heart,79,0.37596443,0.001987616,7647
strok 79,strok,79,0.101714731,0.001436719,7698
psych 79,psych,79,0.13487526,0.000667806,7696
arthr 79,arthr,79,0.734014675,-0.000109392,7632
proxy 79,proxy,79,0.036251775,0.005673926,10565
dead 79,dead,79,0.144315861,0.003395248,5876
hibp 80,hibp,80,0.67819377,-0.000718431,6998
diab 80,diab,80,0.214760356,0.001955841,7073
cancr 80,cancr,80,0.229957806,1.66E-06,7110
lung 80,lung,80,0.117081448,-0.000181313,7072
heart 80,heart,80,0.390153142,0.002572664,6987
strok 80,strok,80,0.10507607,0.001195154,7033
psych 80,psych,80,0.131496734,0.001013221,7042
arthr 80,arthr,80,0.735521789,-0.000409374,6976
proxy 80,proxy,80,0.040536391,0.00670354,9769
dead 80,dead,80,0.152131612,0.004324088,5653
hibp 81,hibp,81,0.676336119,-0.000449129,6343
diab 81,diab,81,0.20174482,0.00118266,6419
cancr 81,cancr,81,0.229419074,0.000795186,6438
lung 81,lung,81,0.116536661,-3.31E-05,6410
heart 81,heart,81,0.390822785,0.001202824,6320
strok 81,strok,81,0.106666667,0.001292441,6375
psych 81,psych,81,0.135177617,0.000971794,6362
arthr 81,arthr,81,0.73895137,-0.000129669,6313
proxy 81,proxy,81,0.047460634,0.00770099,9018
dead 81,dead,81,0.158866545,0.005575844,5470
hibp 82,hibp,82,0.676444757,-0.000175846,5693
diab 82,diab,82,0.201699618,0.001531917,5766
cancr 82,cancr,82,0.231926669,0.001457275,5782
lung 82,lung,82,0.117023126,1.97E-05,5751
heart 82,heart,82,0.406062742,-0.000257625,5674
strok 82,strok,82,0.11089766,0.001192538,5726
psych 82,psych,82,0.133706685,0.002144938,5714
arthr 82,arthr,82,0.745534925,-0.000186749,5655
proxy 82,proxy,82,0.056394155,0.00888324,8281
dead 82,dead,82,0.163768393,0.006441558,5233
hibp 83,hibp,83,0.67408867,-0.001441551,5075
diab 83,diab,83,0.185964912,0.000665959,5130
cancr 83,cancr,83,0.233794043,0.001394262,5137
lung 83,lung,83,0.114000782,-0.000203724,5114
heart 83,heart,83,0.410948036,-0.001127793,5042
