,V1,V2,V3,V4,V5
lung 73,lung,73,0.126363714,0.001241501,11641
heart 73,heart,73,0.318644068,0.000381851,11505
strok 73,strok,73,0.082803095,3.88E-05,11630
psych 73,psych,73,0.138975155,0.002945286,11592
arthr 73,arthr,73,0.704592721,0.001422285,11540
proxy 73,proxy,73,0.024553871,0.000695226,14906
dead 73,dead,73,0.124503968,3.80E-05,6048
hibp 74,hibp,74,0.663966154,0.002038658,11109
diab 74,diab,74,0.238976836,0.004485573,11181
cancr 74,cancr,74,0.199465241,0.00125159,11220
lung 74,lung,74,0.128271782,0.001005853,11156
heart 74,heart,74,0.32710958,0.000165976,11033
strok 74,strok,74,0.082742529,7.31E-05,11143
psych 74,psych,74,0.140379258,0.00207394,11127
arthr 74,arthr,74,0.709015282,0.001064611,11059
proxy 74,proxy,74,0.02744771,0.000785489,14391
dead 74,dead,74,0.12340081,-9.87E-05,6175
hibp 75,hibp,75,0.664495114,0.003211449,10438
diab 75,diab,75,0.230915486,0.002950822,10519
cancr 75,cancr,75,0.206537186,0.001497476,10555
lung 75,lung,75,0.129569688,0.001083294,10504
heart 75,heart,75,0.336546804,0.000394385,10373
strok 75,strok,75,0.090005733,-1.82E-06,10466
psych 75,psych,75,0.136819964,0.00176733,10459
arthr 75,arthr,75,0.717100836,0.000841048,10403
proxy 75,proxy,75,0.029989055,0.000932076,13705
dead 75,dead,75,0.12933503,-5.80E-05,6286
hibp 76,hibp,76,0.669175258,0.001452305,9700
diab 76,diab,76,0.232479508,0.002494764,9760
cancr 76,cancr,76,0.215436378,0.00140688,9808
lung 76,lung,76,0.132075472,0.001212919,9752
heart 76,heart,76,0.346058091,2.29E-05,9640
strok 76,strok,76,0.093193286,9.98E-05,9711
psych 76,psych,76,0.137182258,0.001688671,9717
arthr 76,arthr,76,0.720186335,0.000341047,9660
proxy 76,proxy,76,0.032035371,0.001135606,12892
dead 76,dead,76,0.129310345,-1.45E-05,6148
hibp 77,hibp,77,0.670399113,0.002937243,9020
diab 77,diab,77,0.225349016,0.003160174,9097
cancr 77,cancr,77,0.218777388,0.001605023,9128
lung 77,lung,77,0.131813677,0.001034759,9081
heart 77,heart,77,0.357946319,0.000339721,8979
strok 77,strok,77,0.098474801,0.000232128,9048
psych 77,psych,77,0.139807543,0.002381552,9041
