"","","","","imv",""
"heart 75","heart","75","0.346958174904943","0.00184496727429916","2104"
"strok 75","strok","75","0.0761179828734539","0.00145468342604298","2102"
"psych 75","psych","75","0.130703422053232","0.0010310633537903","2104"
"arthr 75","arthr","75","0.733557369179069","0.00543555281943325","2083"
"proxy 75","proxy","75","0.0232638888888889","0.000338436656158587","2880"
"hibp 76","hibp","76","0.70523138832998","0.00173383935332661","1988"
"diab 76","diab","76","0.262311557788945","0.00601598214935723","1990"
"cancr 76","cancr","76","0.228699551569507","-0.000115222318364317","2007"
"lung 76","lung","76","0.1187374749499","0.00124090634821102","1996"
"heart 76","heart","76","0.357788944723618","0.0226806019184581","1990"
"strok 76","strok","76","0.0863887493721748","0.00186703074254371","1991"
"psych 76","psych","76","0.129275653923541","0.00240397240053504","1988"
"arthr 76","arthr","76","0.735294117647059","0.00400433064385417","1972"
"proxy 76","proxy","76","0.0268213120695904","0.000274273546186249","2759"
"hibp 77","hibp","77","0.707329842931937","-0.00546040542333213","1910"
"diab 77","diab","77","0.243455497382199","0.00360469666544281","1910"
"cancr 77","cancr","77","0.238689547581903","-0.000892517757796709","1923"
"lung 77","lung","77","0.126892950391645","-0.000158578900916188","1915"
"heart 77","heart","77","0.375","0.0129157776941111","1912"
"strok 77","strok","77","0.0974842767295598","0.00326123831668019","1908"
"psych 77","psych","77","0.131095962244363","0.000431725722437999","1907"
"arthr 77","arthr","77","0.748019017432647","0.00385225587523489","1893"
"proxy 77","proxy","77","0.0266216722909636","0.000711214525852821","2667"
"hibp 78","hibp","78","0.718767826583001","0.00377282993979193","1753"
"diab 78","diab","78","0.238746438746439","0.00732292319244565","1755"
"cancr 78","cancr","78","0.251558073654391","-0.00113889550505104","1765"
"lung 78","lung","78","0.12521343198634","-0.000294232615721878","1757"
"heart 78","heart","78","0.384045584045584","0.01566074086843","1755"
"strok 78","strok","78","0.0994285714285714","0.00261603931188791","1750"
"psych 78","psych","78","0.123499142367067","0.00168124942872209","1749"
"arthr 78","arthr","78","0.748267898383372","0.00254717109173656","1732"
"proxy 78","proxy","78","0.0271891243502599","0.00166798659772393","2501"
"hibp 79","hibp","79","0.715437073775573","0.00220047187333957","1613"
"diab 79","diab","79","0.229153798641136","0.00643608113675882","1619"
"cancr 79","cancr","79","0.257985257985258","-0.00142243529808003","1628"
"lung 79","lung","79","0.123997532387415","-0.000627917547962423","1621"
"heart 79","heart","79","0.385423100679432","0.00956319975101145","1619"
"strok 79","strok","79","0.0951492537313433","0.00387331150409316","1608"
"psych 79","psych","79","0.126237623762376","0.00239932338489901","1616"
"arthr 79","arthr","79","0.73525721455458","0.0018908196181118","1594"
"proxy 79","proxy","79","0.0262252794496991","0.00119591724672584","2326"
"hibp 80","hibp","80","0.726182074805928","0.00131093892629372","1417"
"diab 80","diab","80","0.23405746320953","0.00438672310956081","1427"
"cancr 80","cancr","80","0.258692628650904","-0.00151171450567782","1438"
"lung 80","lung","80","0.116538729937195","-3.92476840093076e-05","1433"
"heart 80","heart","80","0.400140154169587","0.00241662393352526","1427"
"strok 80","strok","80","0.0928270042194093","0.00477598478638052","1422"
"psych 80","psych","80","0.122893258426966","0.00290297586132642","1424"
"arthr 80","arthr","80","0.740899357601713","0.00624971704594269","1401"
"proxy 80","proxy","80","0.0282431785543322","0.000849887444149065","2089"
"hibp 81","hibp","81","0.720510894064613","0.000659137415968522","1331"
"diab 81","diab","81","0.220238095238095","7.77154915943597e-06","1344"
"cancr 81","cancr","81","0.252225519287834","-0.00249975810060261","1348"
"lung 81","lung","81","0.11358574610245","0.000546907262843925","1347"
"heart 81","heart","81","0.415603900975244","-0.00648922587258928","1333"
"strok 81","strok","81","0.0960960960960961","0.00574171734759088","1332"
"psych 81","psych","81","0.128668171557562","0.00118678445861921","1329"
"arthr 81","arthr","81","0.753048780487805","0.00479779605366821","1312"
"proxy 81","proxy","81","0.0327365728900256","0.00101901012983587","1955"
"hibp 82","hibp","82","0.728559533721898","0.00267350921540684","1201"
"diab 82","diab","82","0.234077750206782","-0.000451931334171677","1209"
"cancr 82","cancr","82","0.25","-0.000351036179123747","1212"
"lung 82","lung","82","0.106965174129353","0.000394462353207714","1206"
"heart 82","heart","82","0.42162615255658","0.00432785993409758","1193"
"strok 82","strok","82","0.097581317764804","0.00346173037387147","1199"
"psych 82","psych","82","0.126148705096074","-0.000564287282245326","1197"
"arthr 82","arthr","82","0.758883248730964","0.00327758078351906","1182"
