"","x"
"1972",0.072074399848743
"1973",0.0675962852689102
"1974",0.0435182132985706
"1975",0.0435457444157403
"1976",0.0416980277856849
"1977",0.0385441685080234
"1978",0.0536437133038394
"1980",0.0685085928958273
"1982",0.0966245515565683
"1983",0.0736700569110795
"1984",0.0973387610292485
"1985",0.193567718407696
"1986",0.120791013751849
"1987",0.141460095214549
"1988",0.168022101983613
"1989",0.196550852980792
"1990",0.181811092390412
"1991",0.248731016304181
"1993",0.165638942151754
"1994",0.176906595217206
"1996",0.238575452951995
"1998",0.167664909287399
"2000",0.190804525359112
"2002",0.2166709647915
"2004",0.238693258992484
"2006",0.191023630007171
"2008",0.150305046218675
"2010",0.143885267032834
"2012",0.15215675566225
"2014",0.197412258358735
"2016",0.146653013011561
"2018",0.211471378884038
