"","b0","b1","b2","prev","ew","r2","auc","f1"
"1",0.0758730699308217,0.832849410828203,0.3,0.5035,0.370022583219253,0.132251753084259,0.709629479987879,0.651186269560828
"2",0.406785426661372,0.61662254226394,0.3,0.601,0.120843657062312,0.0727995094605386,0.653514534958971,0.403292181069959
"3",0.682401802390814,0.424782959045842,0.3,0.665,0.0435610705216403,0.0347488208520083,0.609152129817444,0.180555555555556
"4",0.667123082559556,0.489204476354644,0.3,0.6595,0.06114395942836,0.0513907319637443,0.634821891431534,0.226457399103139
"5",0.86059603956528,0.789838832104579,0.3,0.6795,0.0836979471083009,0.102789511993667,0.69697333849794,0.350332594235033
"6",0.0473738161381334,0.286608980968595,0.3,0.526,0.0930085444998656,0.0220378866180873,0.586075565516355,0.489844683393071
"7",0.942408630158752,0.583579496014863,0.3,0.718,0.0465165703093793,0.0605492145234331,0.652083175092322,0.155425219941349
"8",0.997317150933668,0.303099197102711,0.3,0.711,0.0118815688376293,0.0170438434962266,0.583233522572065,0.00353982300884956
"9",0.752218308625743,0.141171518480405,0.3,0.679,0.00450422319259116,0.00485427103031688,0.545466700150211,0.00318979266347687
"10",0.140485337004066,0.741820383351296,0.3,0.545,0.228693001098417,0.095158463381663,0.679577238127424,0.569567791592658
"11",0.205490889493376,0.612007288262248,0.3,0.543,0.178444230977813,0.0863401668224801,0.667568761904762,0.546691403834261
"12",0.542275677202269,0.0825294384267181,0.3,0.629,0.00310502665704028,0.00189997342109616,0.526669814049235,NA
"13",0.297227866016328,0.344401058042422,0.3,0.568,0.0885775532497796,0.0424480600986042,0.623381736421042,0.38828967642527
"14",0.971536398166791,0.764640178298578,0.3,0.7045,0.067858606623829,0.100481391081989,0.693080603606919,0.291777188328912
"15",0.177013127831742,0.0934053843375295,0.3,0.5255,0.0193494654057223,0.00424512517015996,0.531760865080039,0.30722433460076
"16",0.0154642791021615,0.954825782449916,0.3,0.51,0.391858395935917,0.16878982505448,0.736805722288916,0.661530559835645
"17",0.996783689595759,0.624626267235726,0.3,0.713,0.0320993222185487,0.0470582754217233,0.638075623777633,0.212885154061625
"18",0.147179610095918,0.952769950963557,0.3,0.5425,0.408279000747893,0.182210201765082,0.745733109546832,0.633257403189066
"19",0.301289838040248,0.26964009180665,0.3,0.553,0.0235372734962439,0.0081419976494117,0.558830774199681,0.339651250947688
"20",0.324402011930943,0.110199672635645,0.3,0.58,0.00627666760911022,0.00197350281763542,0.525963215636411,0.0091533180778032
