,imv
0,0.1617572685760773
1,0.08634802046706973
2,0.011014166240546765
3,0.18976442925100478
4,0.0465065503715439
5,0.12674239597010645
6,0.1568602750424691
7,0.2108856697339202
8,0.07744569940555707
9,0.14527071187395937
10,-0.04847231378077956
11,0.17090851512641725
12,0.18802875359336654
13,0.09645521116998224
14,0.17260565322895408
15,0.12239026050447191
16,0.1001740711895947
17,0.039700270488826024
18,0.08880845916456545
19,0.12304006695658486
20,0.05699035251590186
21,0.16745707397254642
22,-0.11052164009808513
23,0.10199454342371221
24,-0.004249842770362715
25,0.2137462711604554
26,0.06518235644650609
27,0.1868258041479583
28,0.07403740710047843
29,0.056886732757257655
30,0.11541647146537491
31,-0.008160082970615165
32,0.19597229421085643
33,0.09015448889816115
34,0.2624849645223894
35,0.05394323527875291
36,0.10090066164485405
37,-0.054427378522904336
38,0.0775267839479999
39,0.05742309693509214
40,0.23977019570929442
41,0.19728492803128944
42,-0.02771882845767905
43,0.20893896328914938
44,0.1432466111843965
45,-0.0758889298780363
46,0.14411923796801035
47,0.1553363576529863
48,0.04807099975386172
49,0.009741205393389688
50,0.04726755998501986
51,0.17010918363384636
52,0.19232619709035198
53,0.05886991661033374
54,0.08644206123274531
55,0.17714246449670062
56,0.12484671791613995
57,0.007762123196903168
58,-0.12051299640115866
59,-0.1459259928399356
60,0.09654887062787114
61,0.1479154822361367
62,0.08669524467303968
63,0.16152363806894962
64,0.18720950498983766
65,0.25727945191655177
66,0.239448121381204
67,0.0995872606322079
68,0.21331867699502768
69,0.20504763844399723
70,0.2526012093316457
71,0.1622126487545116
72,0.1368750968138442
73,0.14307013372808702
74,-0.13593682839770746
75,0.1239338019702913
76,0.09154641109442255
77,0.18852756137142082
78,0.08869431105283687
79,0.10478448348925817
80,0.28389796507725473
81,0.12475797707277914
82,0.1414277044786925
83,0.18709691199377126
84,0.23896104308579738
85,0.06912242063100676
86,0.080709011354457
87,-0.2741436633547957
88,0.14504962919731948
89,0.0608070642685444
90,-0.1516045303144567
91,0.11477786789234717
92,0.05884181987172927
93,0.13149167917154464
94,0.17454298604878885
95,0.1333082973863932
96,0.06061868974356179
97,-0.07364335835911592
98,0.10623143710235133
99,0.13877889699092463
